region,sub_region,latitude,longitude,N,P,K,ph,polygon
Dar es Salaam,Kibaha,-6.519258,39.297788,70,44,135,5.5,"-6.519258,39.297788;-6.499258,39.297788;-6.499258,39.317788;-6.519258,39.317788;-6.519258,39.297788"
Pwani,Temeke,-6.93237,39.362698,68,27,248,7.25,"-6.93237,39.362698;-6.91237,39.362698;-6.91237,39.382698000000005;-6.93237,39.382698000000005;-6.93237,39.362698"
Pwani,Kinondoni,-6.638752,39.493044,21,35,128,7.48,"-6.638752,39.493044;-6.618752000000001,39.493044;-6.618752000000001,39.513044;-6.638752,39.513044;-6.638752,39.493044"
Pwani,Kibaha,-6.820892,39.133087,43,49,174,7.22,"-6.820892,39.133087;-6.800892,39.133087;-6.800892,39.153087000000006;-6.820892,39.153087000000006;-6.820892,39.133087"
Pwani,Kibaha,-6.655236,38.902991,44,46,195,6.01,"-6.655236,38.902991;-6.635236000000001,38.902991;-6.635236000000001,38.922991;-6.655236,38.922991;-6.655236,38.902991"
Dar es Salaam,Ilala,-6.674669,39.053863,34,43,296,6.68,"-6.674669,39.053863;-6.654669,39.053863;-6.654669,39.073863;-6.674669,39.073863;-6.674669,39.053863"
Dar es Salaam,Temeke,-6.564448,39.186355,24,23,238,7.14,"-6.564448,39.186355;-6.544448,39.186355;-6.544448,39.206355;-6.564448,39.206355;-6.564448,39.186355"
Dar es Salaam,Kibaha,-6.823979,39.272543,73,38,281,6.42,"-6.823979,39.272543;-6.803979,39.272543;-6.803979,39.292543;-6.823979,39.292543;-6.823979,39.272543"
Pwani,Kibaha,-6.969997,39.101762,42,11,248,6.6,"-6.969997,39.101762;-6.949997000000001,39.101762;-6.949997000000001,39.121762000000004;-6.969997,39.121762000000004;-6.969997,39.101762"
Pwani,Kinondoni,-6.80077,39.414377,55,35,164,7.39,"-6.80077,39.414377;-6.78077,39.414377;-6.78077,39.434377000000005;-6.80077,39.434377000000005;-6.80077,39.414377"
Pwani,Kinondoni,-6.773434,39.152593,33,43,253,6.9,"-6.773434,39.152593;-6.753434,39.152593;-6.753434,39.172593000000006;-6.773434,39.172593000000006;-6.773434,39.152593"
Dar es Salaam,Bagamoyo,-6.521371,39.500694,47,21,192,6.02,"-6.521371,39.500694;-6.501371000000001,39.500694;-6.501371000000001,39.520694000000006;-6.521371,39.520694000000006;-6.521371,39.500694"
Pwani,Kinondoni,-6.639274,39.491313,44,48,133,5.76,"-6.639274,39.491313;-6.619274000000001,39.491313;-6.619274000000001,39.511313;-6.639274,39.511313;-6.639274,39.491313"
Pwani,Kibaha,-6.947867,39.015662,62,13,101,7.12,"-6.947867,39.015662;-6.927867,39.015662;-6.927867,39.035662;-6.947867,39.035662;-6.947867,39.015662"
Pwani,Bagamoyo,-6.799369,38.897818,40,17,238,7.41,"-6.799369,38.897818;-6.779369000000001,38.897818;-6.779369000000001,38.917818000000004;-6.799369,38.917818000000004;-6.799369,38.897818"
Pwani,Temeke,-6.628893,38.937199,46,40,285,5.57,"-6.628893,38.937199;-6.608893,38.937199;-6.608893,38.957199;-6.628893,38.957199;-6.628893,38.937199"
Pwani,Temeke,-6.890021,39.214365,77,18,234,7.4,"-6.890021,39.214365;-6.870021,39.214365;-6.870021,39.234365000000004;-6.890021,39.234365000000004;-6.890021,39.214365"
Pwani,Ilala,-6.841848,39.437583,61,24,131,5.72,"-6.841848,39.437583;-6.821848,39.437583;-6.821848,39.457583;-6.841848,39.457583;-6.841848,39.437583"
Pwani,Temeke,-6.577599,38.903463,43,40,141,5.68,"-6.577599,38.903463;-6.557599000000001,38.903463;-6.557599000000001,38.923463000000005;-6.577599,38.923463000000005;-6.577599,38.903463"
Pwani,Kinondoni,-6.760052,38.990457,51,36,212,5.65,"-6.760052,38.990457;-6.740052,38.990457;-6.740052,39.010457;-6.760052,39.010457;-6.760052,38.990457"
Dar es Salaam,Temeke,-6.958738,39.001733,31,19,204,7.46,"-6.958738,39.001733;-6.938738000000001,39.001733;-6.938738000000001,39.021733000000005;-6.958738,39.021733000000005;-6.958738,39.001733"
Pwani,Kinondoni,-6.818811,38.873834,71,13,144,6.78,"-6.818811,38.873834;-6.798811000000001,38.873834;-6.798811000000001,38.893834000000005;-6.818811,38.893834000000005;-6.818811,38.873834"
Dar es Salaam,Temeke,-6.756121,39.583271,63,27,292,6.19,"-6.756121,39.583271;-6.736121000000001,39.583271;-6.736121000000001,39.60327100000001;-6.756121,39.60327100000001;-6.756121,39.583271"
Pwani,Kisarawe,-6.557579,39.580344,30,11,134,5.91,"-6.557579,39.580344;-6.537579,39.580344;-6.537579,39.600344;-6.557579,39.600344;-6.557579,39.580344"
Dar es Salaam,Kinondoni,-6.821649,38.985052,38,45,103,6.78,"-6.821649,38.985052;-6.801649,38.985052;-6.801649,39.005052000000006;-6.821649,39.005052000000006;-6.821649,38.985052"
Pwani,Ilala,-6.791685,39.218049,49,33,286,7.49,"-6.791685,39.218049;-6.771685000000001,39.218049;-6.771685000000001,39.238049000000004;-6.791685,39.238049000000004;-6.791685,39.218049"
Pwani,Temeke,-6.679522,39.321566,40,17,192,6.25,"-6.679522,39.321566;-6.659522000000001,39.321566;-6.659522000000001,39.341566;-6.679522,39.341566;-6.679522,39.321566"
Dar es Salaam,Ilala,-6.819462,39.12876,57,28,298,6.82,"-6.819462,39.12876;-6.799462,39.12876;-6.799462,39.14876;-6.819462,39.14876;-6.819462,39.12876"
Dar es Salaam,Kibaha,-6.993998,39.225238,47,33,135,7.29,"-6.993998,39.225238;-6.973998000000001,39.225238;-6.973998000000001,39.245238;-6.993998,39.245238;-6.993998,39.225238"
