region,sub_region,latitude,longitude,N,P,K,ph,polygon
Dar es Salaam,DSM Zone 22,-6.80843,39.287175,78,23,175,6.7,"-6.81843,39.277175;-6.81843,39.297174999999996;-6.798430000000001,39.297174999999996;-6.798430000000001,39.277175;-6.81843,39.277175"
Dar es Salaam,DSM Zone 23,-6.710639,39.292864,38,18,109,5.6,"-6.720638999999999,39.282864000000004;-6.720638999999999,39.302864;-6.700639,39.302864;-6.700639,39.282864000000004;-6.720638999999999,39.282864000000004"
Dar es Salaam,DSM Zone 24,-6.768949,39.28549,35,16,181,7.4,"-6.778949,39.275490000000005;-6.778949,39.29549;-6.758949,39.29549;-6.758949,39.275490000000005;-6.778949,39.275490000000005"
Dar es Salaam,DSM Zone 25,-6.617399,39.334731,27,22,196,7,"-6.627399,39.324731;-6.627399,39.344730999999996;-6.607399,39.344730999999996;-6.607399,39.324731;-6.627399,39.324731"
Dar es Salaam,DSM Zone 26,-6.738682,39.336681,51,7,154,6.5,"-6.748682,39.326681;-6.748682,39.346681;-6.728682,39.346681;-6.728682,39.326681;-6.748682,39.326681"
Dar es Salaam,DSM Zone 27,-6.680256,39.235111,68,8,152,7.1,"-6.690256,39.225111000000005;-6.690256,39.245111;-6.670256,39.245111;-6.670256,39.225111000000005;-6.690256,39.225111000000005"
Dar es Salaam,DSM Zone 28,-6.802674,39.284138,68,14,233,6.6,"-6.8126739999999995,39.274138;-6.8126739999999995,39.294138;-6.792674,39.294138;-6.792674,39.274138;-6.8126739999999995,39.274138"
Dar es Salaam,DSM Zone 29,-6.811916,39.225875,71,29,153,6.7,"-6.821916,39.215875000000004;-6.821916,39.235875;-6.801916,39.235875;-6.801916,39.215875000000004;-6.821916,39.215875000000004"
Dar es Salaam,DSM Zone 30,-6.678624,39.315753,34,19,123,7.4,"-6.688624,39.305753;-6.688624,39.325753;-6.668624,39.325753;-6.668624,39.305753;-6.688624,39.305753"
Dar es Salaam,DSM Zone 31,-6.696964,39.295374,51,29,170,7.4,"-6.706964,39.285374000000004;-6.706964,39.305374;-6.686964000000001,39.305374;-6.686964000000001,39.285374000000004;-6.706964,39.285374000000004"
Dar es Salaam,DSM Zone 32,-6.799275,39.316053,59,8,206,6.7,"-6.8092749999999995,39.306053;-6.8092749999999995,39.326052999999995;-6.789275,39.326052999999995;-6.789275,39.306053;-6.8092749999999995,39.306053"
Dar es Salaam,DSM Zone 33,-6.801362,39.293213,46,37,138,6.2,"-6.811362,39.283213;-6.811362,39.303213;-6.791362,39.303213;-6.791362,39.283213;-6.811362,39.283213"
Dar es Salaam,DSM Zone 34,-6.609853,39.260798,54,19,210,7.1,"-6.619853,39.250798;-6.619853,39.270798;-6.599853,39.270798;-6.599853,39.250798;-6.619853,39.250798"
Dar es Salaam,DSM Zone 35,-6.620318,39.326505,38,27,221,5.7,"-6.630318,39.316505;-6.630318,39.336504999999995;-6.610318,39.336504999999995;-6.610318,39.316505;-6.630318,39.316505"
Dar es Salaam,DSM Zone 36,-6.644975,39.332641,38,9,227,6.7,"-6.654974999999999,39.322641000000004;-6.654974999999999,39.342641;-6.634975,39.342641;-6.634975,39.322641000000004;-6.654974999999999,39.322641000000004"
Dar es Salaam,DSM Zone 37,-6.666868,39.239444,27,35,103,5.5,"-6.676868,39.229444;-6.676868,39.249444;-6.656868,39.249444;-6.656868,39.229444;-6.676868,39.229444"
Dar es Salaam,DSM Zone 38,-6.83879,39.283522,71,39,228,5.7,"-6.84879,39.273522;-6.84879,39.293521999999996;-6.828790000000001,39.293521999999996;-6.828790000000001,39.273522;-6.84879,39.273522"
Dar es Salaam,DSM Zone 39,-6.784572,39.216528,61,15,160,6.8,"-6.794572,39.206528;-6.794572,39.226527999999995;-6.774572,39.226527999999995;-6.774572,39.206528;-6.794572,39.206528"
Dar es Salaam,DSM Zone 40,-6.700384,39.215804,64,13,190,6.4,"-6.7103839999999995,39.205804;-6.7103839999999995,39.225804;-6.690384,39.225804;-6.690384,39.205804;-6.7103839999999995,39.205804"
Pwani,Pwani Zone 1,-7.127116,39.024497,63,27,149,6.7,"-7.137116,39.014497;-7.137116,39.034496999999995;-7.117116,39.034496999999995;-7.117116,39.014497;-7.137116,39.014497"
Pwani,Pwani Zone 2,-7.02915,39.184158,70,10,118,5.7,"-7.039149999999999,39.174158;-7.039149999999999,39.194157999999995;-7.01915,39.194157999999995;-7.01915,39.174158;-7.039149999999999,39.174158"
Pwani,Pwani Zone 3,-6.885641,38.891167,25,18,158,6.1,"-6.8956409999999995,38.881167000000005;-6.8956409999999995,38.901167;-6.875641,38.901167;-6.875641,38.881167000000005;-6.8956409999999995,38.881167000000005"
Pwani,Pwani Zone 4,-6.921129,39.174995,40,39,187,5.8,"-6.931128999999999,39.164995000000005;-6.931128999999999,39.184995;-6.911129,39.184995;-6.911129,39.164995000000005;-6.931128999999999,39.164995000000005"
Pwani,Pwani Zone 5,-6.981216,38.900073,27,40,195,6.7,"-6.991216,38.890073;-6.991216,38.910073;-6.971216,38.910073;-6.971216,38.890073;-6.991216,38.890073"
Pwani,Pwani Zone 6,-7.111583,38.850258,56,39,136,6.7,"-7.121583,38.840258;-7.121583,38.860257999999995;-7.101583000000001,38.860257999999995;-7.101583000000001,38.840258;-7.121583,38.840258"
Pwani,Pwani Zone 7,-7.127915,38.892589,44,19,161,6.3,"-7.137915,38.882589;-7.137915,38.902589;-7.117915,38.902589;-7.117915,38.882589;-7.137915,38.882589"
Pwani,Pwani Zone 8,-7.055671,38.945082,52,19,241,5.7,"-7.065671,38.935082;-7.065671,38.955082;-7.0456710000000005,38.955082;-7.0456710000000005,38.935082;-7.065671,38.935082"
Pwani,Pwani Zone 9,-7.137137,39.082884,29,30,126,6.3,"-7.147137,39.072884;-7.147137,39.092884;-7.127137,39.092884;-7.127137,39.072884;-7.147137,39.072884"
Pwani,Pwani Zone 10,-7.134802,39.193905,45,14,168,5.6,"-7.144801999999999,39.183905;-7.144801999999999,39.203905;-7.124802,39.203905;-7.124802,39.183905;-7.144801999999999,39.183905"
Pwani,Pwani Zone 11,-6.88811,38.932671,49,24,115,7.5,"-6.89811,38.922671;-6.89811,38.942671;-6.87811,38.942671;-6.87811,38.922671;-6.89811,38.922671"
Pwani,Pwani Zone 12,-6.874167,39.047605,53,5,247,6.5,"-6.884167,39.037605;-6.884167,39.057604999999995;-6.864167,39.057604999999995;-6.864167,39.037605;-6.884167,39.037605"
Pwani,Pwani Zone 13,-7.051775,39.078834,64,26,210,5.8,"-7.061775,39.068834;-7.061775,39.088834;-7.041775,39.088834;-7.041775,39.068834;-7.061775,39.068834"
Pwani,Pwani Zone 14,-6.824035,39.18258,33,10,186,5.8,"-6.834035,39.17258;-6.834035,39.19258;-6.8140350000000005,39.19258;-6.8140350000000005,39.17258;-6.834035,39.17258"
Pwani,Pwani Zone 15,-6.904919,38.864697,27,16,185,6.2,"-6.914918999999999,38.854697;-6.914918999999999,38.874697;-6.894919,38.874697;-6.894919,38.854697;-6.914918999999999,38.854697"
Pwani,Pwani Zone 16,-6.912933,39.147799,45,34,169,5.8,"-6.922933,39.137799;-6.922933,39.157799;-6.902933,39.157799;-6.902933,39.137799;-6.922933,39.137799"
Pwani,Pwani Zone 17,-7.045277,38.957439,21,17,165,5.9,"-7.055276999999999,38.947439;-7.055276999999999,38.967439;-7.035277,38.967439;-7.035277,38.947439;-7.055276999999999,38.947439"
Pwani,Pwani Zone 18,-7.008628,38.986502,47,27,153,6.6,"-7.018628,38.976502;-7.018628,38.996502;-6.998628,38.996502;-6.998628,38.976502;-7.018628,38.976502"
Pwani,Pwani Zone 19,-6.848305,39.004655,37,7,116,5.6,"-6.858305,38.994655;-6.858305,39.014655;-6.838305,39.014655;-6.838305,38.994655;-6.858305,38.994655"
Pwani,Pwani Zone 20,-6.984561,39.028226,39,14,212,7.2,"-6.994561,39.018226;-6.994561,39.038225999999995;-6.9745610000000005,39.038225999999995;-6.9745610000000005,39.018226;-6.994561,39.018226"
Pwani,Pwani Zone 21,-6.914458,39.042966,69,8,149,6,"-6.924458,39.032966;-6.924458,39.052966;-6.904458,39.052966;-6.904458,39.032966;-6.924458,39.032966"
Pwani,Pwani Zone 22,-7.120893,39.029742,40,33,124,6,"-7.1308929999999995,39.019742;-7.1308929999999995,39.039742;-7.110893,39.039742;-7.110893,39.019742;-7.1308929999999995,39.019742"
Pwani,Pwani Zone 23,-6.904405,38.934302,75,9,141,7.1,"-6.9144049999999995,38.924302000000004;-6.9144049999999995,38.944302;-6.894405,38.944302;-6.894405,38.924302000000004;-6.9144049999999995,38.924302000000004"
Pwani,Pwani Zone 24,-6.802097,39.010128,76,26,137,6.4,"-6.812097,39.000128000000004;-6.812097,39.020128;-6.792097,39.020128;-6.792097,39.000128000000004;-6.812097,39.000128000000004"
Pwani,Pwani Zone 25,-6.960893,38.877071,46,28,237,7.3,"-6.970893,38.867071;-6.970893,38.887071;-6.950893000000001,38.887071;-6.950893000000001,38.867071;-6.970893,38.867071"
Pwani,Pwani Zone 26,-7.09764,39.157891,50,19,136,7.5,"-7.10764,39.147891;-7.10764,39.167891;-7.08764,39.167891;-7.08764,39.147891;-7.10764,39.147891"
Pwani,Pwani Zone 27,-6.847906,39.174024,70,11,224,6.1,"-6.857906,39.164024000000005;-6.857906,39.184024;-6.837906,39.184024;-6.837906,39.164024000000005;-6.857906,39.164024000000005"
Pwani,Pwani Zone 28,-7.068616,39.158763,48,27,163,7.2,"-7.078615999999999,39.148763;-7.078615999999999,39.168763;-7.058616,39.168763;-7.058616,39.148763;-7.078615999999999,39.148763"
Pwani,Pwani Zone 29,-6.85187,38.961773,29,34,228,6.4,"-6.86187,38.951773;-6.86187,38.971773;-6.84187,38.971773;-6.84187,38.951773;-6.86187,38.951773"
Pwani,Pwani Zone 30,-7.073555,39.112428,79,10,188,7.5,"-7.083555,39.102428;-7.083555,39.122428;-7.063555,39.122428;-7.063555,39.102428;-7.083555,39.102428"
